userId,repoId,rating
1,1,1
1,8,2
6,1,1
7,1,1
21,1,2
21,3,2
21,7,2
25,1,2
25,2,1
32,1,2
32,4,1
35,1,1
43,1,1
43,6,2
51,1,1
52,1,2
52,2,2
58,1,2
59,1,1
76,1,2
78,1,1
78,2,2
85,1,1
85,4,1
97,1,2
102,1,1
102,4,2
118,1,1
127,1,2
128,1,1
129,1,1
129,2,2
129,4,2
141,1,2
141,2,2
151,1,1
151,2,2
158,1,2
158,5,2
161,1,2
161,2,1
173,1,1
173,2,2
205,1,1
260,1,2
260,2,2
262,1,1
262,2,1
267,1,2
267,2,2
267,4,2
310,1,1
317,1,2
317,4,2
330,1,1
330,2,1
330,6,2
347,1,2
347,2,2
347,6,1
358,1,1
363,1,2
363,4,1
366,1,2
366,2,1
370,1,2
370,4,2
394,1,1
394,4,2
397,1,1
397,4,2
397,6,2
398,1,1
398,6,2
411,1,2
411,8,2
426,1,2
441,1,1
441,3,2
441,7,2
471,1,1
471,4,1
487,1,2
497,1,2
497,5,2
532,1,1
543,1,1
589,1,1
589,5,2
593,1,2
593,3,2
593,7,2
599,1,2
627,1,1
627,2,2
629,1,1
634,1,1
634,5,2
640,1,2
640,2,2
651,1,1
651,8,2
658,1,1
667,1,1
683,1,2
695,1,2
698,1,2
711,1,1
713,1,1
715,1,2
752,1,1
752,2,2
752,4,2
767,1,1
767,6,2
770,1,1
770,3,2
770,7,2
777,1,1
777,5,1
780,1,2
780,4,2
783,1,1
783,4,1
795,1,2
795,2,2
821,1,2
821,6,1
845,1,2
845,2,2
845,4,2
858,1,2
858,8,2
861,1,2
861,2,2
872,1,1
872,5,1
876,1,1
876,6,2
885,1,1
906,1,1
906,2,2
907,1,2
907,2,1
911,1,1
911,4,2
914,1,2
914,2,2
922,1,1
922,4,1
927,1,2
929,1,1
929,3,2
929,7,2
946,1,1
946,4,2
950,1,1
950,6,1
953,1,1
953,4,2
969,1,1
969,4,2
974,1,1
974,4,2
982,1,1
982,4,2
982,5,2
988,1,2
998,1,2
998,4,1
1006,1,2
1006,6,1
1009,1,1
1009,5,1
1011,1,2
1011,4,2
1023,1,1
1023,2,1
1032,1,1
1032,3,2
1032,7,2
1042,1,2
1042,4,1
1050,1,2
1050,2,1
1051,1,1
1051,2,1
1053,1,2
1053,6,2
1066,1,2
1066,2,2
1066,6,2
1068,1,1
1068,2,2
1068,6,2
1074,1,1
1077,1,1
1077,2,1
1077,4,2
1079,1,1
1079,2,2
1089,1,1
1089,4,2
1101,1,1
1101,4,2
1104,1,1
1104,2,2
1104,6,1
1110,1,2
1110,2,2
