userId,repoId,rating
55,2,2
86,2,1
145,2,1
155,2,2
235,2,2
252,2,1
274,2,1
286,2,1
297,2,2
333,2,2
334,2,1
341,2,1
364,2,1
399,2,2
435,2,2
462,2,1
545,2,2
566,2,2
576,2,1
581,2,2
586,2,2
587,2,2
596,2,2
630,2,1
642,2,2
676,2,1
726,2,1
733,2,2
755,2,1
763,2,2
765,2,1
775,2,2
804,2,2
833,2,2
842,2,1
850,2,2
889,2,1
919,2,1
920,2,2
995,2,2
1019,2,1
1054,2,2
1065,2,1
1067,2,2
1070,2,2
1102,2,2
1119,2,2
1146,2,1
1150,2,2
1157,2,2
1160,2,2
1178,2,2
1209,2,2
1243,2,2
1289,2,1
1316,2,1
1321,2,2
1356,2,1
1379,2,2
1380,2,2
1389,2,2
1443,2,2
1547,2,1
1656,2,2
1667,2,2
1668,2,2
1712,2,2
1750,2,1
1778,2,2
1780,2,1
1784,2,2
1796,2,2
1817,2,2
1971,2,1
1988,2,1
1997,2,1
2083,2,1
2241,2,2
2263,2,1
2360,2,2
2392,2,2
2467,2,2
2525,2,2
2535,2,2
2620,2,2
2650,2,1
2667,2,1
2720,2,1
2870,2,2
2918,2,2
2925,2,2
2997,2,2
3022,2,1
3124,2,2
3145,2,1
3193,2,2
3273,2,2
3305,2,2
3308,2,2
3405,2,2
3429,2,1
3442,2,2
3538,2,1
3545,2,1
3573,2,1
3596,2,2
3651,2,2
3657,2,2
3668,2,1
3787,2,1
3844,2,1
3885,2,2
3890,2,2
3949,2,1
4099,2,1
4178,2,1
4187,2,2
4194,2,2
4289,2,2
4332,2,2
4366,2,2
4417,2,2
4431,2,2
4467,2,2
4584,2,2
4657,2,1
4724,2,2
4727,2,2
4760,2,2
4804,2,1
4810,2,2
4819,2,2
4820,2,2
4899,2,2
4972,2,1
4975,2,1
5028,2,1
5042,2,2
5090,2,1
5103,2,2
5120,2,1
5160,2,2
41,3,2
50,3,1
94,3,1
137,3,2
146,3,1
162,3,2
167,3,1
231,3,1
243,3,2
264,3,2
273,3,1
278,3,2
282,3,2
290,3,2
296,3,2
299,3,2
325,3,2
359,3,1
361,3,2
378,3,2
407,3,2
425,3,2
430,3,2
458,3,2
466,3,1
489,3,1
529,3,2
545,3,1
553,3,2
565,3,2
578,3,1
584,3,2
585,3,2
647,3,2
648,3,2
657,3,2
665,3,2
672,3,2
691,3,2
701,3,2
722,3,1
740,3,2
747,3,1
854,3,2
899,3,1
952,3,1
999,3,2
1045,3,1
1093,3,2
1097,3,2
1116,3,1
1120,3,2
1144,3,2
1157,3,2
1158,3,1
1165,3,2
1262,3,2
1265,3,2
1288,3,1
1296,3,2
1391,3,2
1458,3,2
1460,3,1
1480,3,1
1535,3,2
1545,3,2
1556,3,2
1557,3,2
1561,3,1
1627,3,1
1630,3,2
1637,3,2
1647,3,2
1673,3,2
1678,3,1
1692,3,1
1700,3,2
1747,3,1
1795,3,1
1819,3,1
1824,3,2
1834,3,2
1888,3,2
1959,3,2
2027,3,2
2041,3,2
2055,3,2
2116,3,1
2117,3,2
2185,3,2
2195,3,2
2210,3,2
2212,3,2
2227,3,2
2318,3,2
2331,3,1
2369,3,2
2372,3,2
2418,3,2
2473,3,1
2500,3,1
2529,3,1
2553,3,1
2585,3,2
2590,3,1
2681,3,2
2735,3,2
2771,3,1
2788,3,2
2795,3,1
2850,3,2
2851,3,2
2883,3,2
2912,3,1
2985,3,1
3002,3,2
3018,3,1
3063,3,2
3153,3,2
3235,3,1
3295,3,1
3398,3,2
3431,3,2
3565,3,1
3597,3,1
3631,3,2
3637,3,1
3660,3,1
3726,3,2
3744,3,1
3777,3,2
3791,3,2
3809,3,1
3852,3,1
3926,3,2
3988,3,1
3991,3,1
4020,3,2
4033,3,1
4059,3,1
4110,3,1
4116,3,1
4186,3,2
4209,3,2
4223,3,2
4299,3,1
4336,3,2
4379,3,1
4386,3,2
4405,3,1
4409,3,2
4511,3,1
4527,3,2
4582,3,1
4614,3,1
4622,3,2
4696,3,1
4737,3,2
4743,3,1
4778,3,1
4827,3,1
4837,3,1
4845,3,2
4885,3,2
4906,3,2
4915,3,2
4927,3,1
4970,3,2
4987,3,2
4988,3,2
5087,3,2
5124,3,1
5143,3,1
